thr_YES,thr_NO,thr_TBD,macro_f1,fallback_mode
0.1,0.1,0.1,0.820946,argmax
0.1,0.1,0.14444444444444446,0.820946,argmax
0.1,0.1,0.18888888888888888,0.820946,argmax
0.1,0.1,0.23333333333333334,0.820946,argmax
0.1,0.1,0.2777777777777778,0.820946,argmax
0.1,0.1,0.32222222222222224,0.820946,argmax
0.1,0.1,0.3666666666666667,0.820842,argmax
0.1,0.1,0.4111111111111111,0.820818,argmax
0.1,0.1,0.4555555555555556,0.820878,argmax
0.1,0.1,0.5,0.82088,argmax
0.1,0.1,0.5444444444444445,0.820977,argmax
0.1,0.1,0.5888888888888889,0.818458,argmax
0.1,0.1,0.6333333333333333,0.815535,argmax
0.1,0.1,0.6777777777777778,0.813139,argmax
0.1,0.1,0.7222222222222222,0.812947,argmax
0.1,0.1,0.7666666666666667,0.81025,argmax
0.1,0.1,0.8111111111111111,0.804692,argmax
0.1,0.1,0.8555555555555555,0.795208,argmax
0.1,0.1,0.9,0.788539,argmax
0.1,0.14444444444444446,0.1,0.820946,argmax
0.1,0.14444444444444446,0.14444444444444446,0.820946,argmax
0.1,0.14444444444444446,0.18888888888888888,0.820946,argmax
0.1,0.14444444444444446,0.23333333333333334,0.820946,argmax
0.1,0.14444444444444446,0.2777777777777778,0.820946,argmax
0.1,0.14444444444444446,0.32222222222222224,0.820946,argmax
0.1,0.14444444444444446,0.3666666666666667,0.820842,argmax
0.1,0.14444444444444446,0.4111111111111111,0.820818,argmax
0.1,0.14444444444444446,0.4555555555555556,0.820878,argmax
0.1,0.14444444444444446,0.5,0.82088,argmax
0.1,0.14444444444444446,0.5444444444444445,0.820977,argmax
0.1,0.14444444444444446,0.5888888888888889,0.818458,argmax
0.1,0.14444444444444446,0.6333333333333333,0.815535,argmax
0.1,0.14444444444444446,0.6777777777777778,0.813139,argmax
0.1,0.14444444444444446,0.7222222222222222,0.812947,argmax
0.1,0.14444444444444446,0.7666666666666667,0.810253,argmax
0.1,0.14444444444444446,0.8111111111111111,0.80549,argmax
0.1,0.14444444444444446,0.8555555555555555,0.797944,argmax
0.1,0.14444444444444446,0.9,0.794696,argmax
0.1,0.18888888888888888,0.1,0.820946,argmax
0.1,0.18888888888888888,0.14444444444444446,0.820946,argmax
0.1,0.18888888888888888,0.18888888888888888,0.820946,argmax
0.1,0.18888888888888888,0.23333333333333334,0.820946,argmax
0.1,0.18888888888888888,0.2777777777777778,0.820946,argmax
0.1,0.18888888888888888,0.32222222222222224,0.820946,argmax
0.1,0.18888888888888888,0.3666666666666667,0.820842,argmax
0.1,0.18888888888888888,0.4111111111111111,0.820818,argmax
0.1,0.18888888888888888,0.4555555555555556,0.820878,argmax
0.1,0.18888888888888888,0.5,0.82088,argmax
0.1,0.18888888888888888,0.5444444444444445,0.820977,argmax
0.1,0.18888888888888888,0.5888888888888889,0.818458,argmax
0.1,0.18888888888888888,0.6333333333333333,0.815535,argmax
0.1,0.18888888888888888,0.6777777777777778,0.813045,argmax
0.1,0.18888888888888888,0.7222222222222222,0.812483,argmax
0.1,0.18888888888888888,0.7666666666666667,0.80969,argmax
0.1,0.18888888888888888,0.8111111111111111,0.805754,argmax
0.1,0.18888888888888888,0.8555555555555555,0.802301,argmax
0.1,0.18888888888888888,0.9,0.79912,argmax
0.1,0.23333333333333334,0.1,0.820946,argmax
0.1,0.23333333333333334,0.14444444444444446,0.820946,argmax
0.1,0.23333333333333334,0.18888888888888888,0.820946,argmax
0.1,0.23333333333333334,0.23333333333333334,0.820946,argmax
0.1,0.23333333333333334,0.2777777777777778,0.820946,argmax
0.1,0.23333333333333334,0.32222222222222224,0.820946,argmax
0.1,0.23333333333333334,0.3666666666666667,0.820842,argmax
0.1,0.23333333333333334,0.4111111111111111,0.820818,argmax
0.1,0.23333333333333334,0.4555555555555556,0.820878,argmax
0.1,0.23333333333333334,0.5,0.82088,argmax
0.1,0.23333333333333334,0.5444444444444445,0.820977,argmax
